year,customer, sow,ppd,volume, PP ,Quadrant,PPDValue
2024,KunChing (ID),57.22,0.06438,720.54,1.689208,c1,46.390176
2024,Chiao Fu (TW),56.52,-0.01358,406.34,1.600136,c2,-5.516130
2024,Holy Foam,100.00,0.08520,72.50,1.750393,c1,6.177181
2024,Tayfull,99.26,0.03238,185.00,1.673887,c1,5.990089
2024,JIANN FONG,46.15,0.00199,425.28,1.646963,c3,0.847847
2024,Aica,33.64,-0.03877,388.19,1.598634,c4,-15.050218
2024,CHEN CHI HSIANG,88.70,-0.00822,778.28,1.642883,c2,-6.397898
2024,Chiao Fu (AU),83.33,-0.05238,100.00,1.814077,c2,-5.237854
2024,Headway,71.36,-0.03485,480.90,1.623873,c2,-16.759087
2024,Inoac,65.89,0.02249,46.25,1.695983,c1,1.040110
2024,KunChing (TW),22.26,-0.04441,110.94,1.552724,c4,-4.927147
2024,KunChing (VN),55.24,0.00737,580.00,1.669149,c1,4.273689
2024,Len Wa,93.70,0.01671,293.74,1.646386,c1,4.908481
2024,Tong Fong,74.24,-0.00605,353.15,1.620364,c2,-2.137049
2025,Aica,20.02,-0.01936,184.95,1.495940,c4,-3.579813
2025,CHEN CHI HSIANG,87.10,-0.02633,800.05,1.468277,c2,-21.068916
2025,Chiao Fu (AU),50.00,-0.08356,80.00,1.561142,c4,-6.684469
2025,Chiao Fu (TW),65.02,0.00096,573.37,1.510510,c1,0.548052
2025,Headway,41.22,-0.04739,373.48,1.482108,c4,-17.698321
2025,Holy Foam,99.55,0.08592,55.75,1.582376,c1,4.790235
2025,Inoac,25.00,0.07418,15.00,1.506077,c3,1.112729
2025,JIANN FONG,44.53,-0.00288,388.51,1.479799,c4,-1.119382
2025,KunChing (ID),59.49,0.05786,963.66,1.578459,c1,55.753521
2025,KunChing (TW),53.43,-0.02599,443.95,1.466786,c2,-11.540350
2025,KunChing (VN),55.00,0.02611,660.00,1.543808,c1,17.233972
2025,Tayfull,82.38,0.00932,155.50,1.502223,c1,1.450006
2025,Tong Fong,82.86,0.00041,387.96,1.476078,c1,0.157131
2025,CRECIMIENTO,6.67,-0.16009,40.00,1.369659,c4,-6.403483
2025,Len Wa,89.00,0.02123,352.02,1.481682,c1,7.473123
