year,customer,pocket price,demand,covestro,tosoh,wanhua,kmc,basf,sabic,huntsman,other,vn_pp,seap_pp,apac_pp
2023,AN THANH PHAT,1.63,3000,1620,1100,200,80,0,0,0,0,1.621,1.65,1.84
2023,DOAN MINH,1.62,5740,1380,800,2900,660,0,0,0,0,1.621,1.65,1.84
2023,GIA LONG,1.6,340,100,80,160,0,0,0,0,0,1.621,1.65,1.84
2023,HMC,1.66,420,240,0,100,80,0,0,0,0,1.621,1.65,1.84
2023,LONG DANG,1.64,2600,400,2000,200,0,0,0,0,0,1.621,1.65,1.84
2023,NEW MATERIAL,1.62,840,280,260,300,0,0,0,0,0,1.621,1.65,1.84
2023,NGOC DAN,1.6,5120,3520,600,300,500,200,0,0,0,1.621,1.65,1.84
2023,SANAKY,1.6,1000,700,0,300,0,0,0,0,0,1.621,1.65,1.84
2023,TONMAT,1.63,2360,60,1300,1000,0,0,0,0,0,1.621,1.65,1.84
2023,WANEK,1.61,153,153,0,0,0,0,0,0,0,1.621,1.65,1.84
2024,AN THANH PHAT,1.89,4570,2140,1350,420,360,0,300,0,0,1.87,1.84,1.9
2024,DOAN MINH,1.87,7660,1700,1160,3000,1800,0,0,0,0,1.87,1.84,1.9
2024,GIA LONG,1.94,340,120,100,120,0,0,0,0,0,1.87,1.84,1.9
2024,HMC,1.87,520,480,0,0,40,0,0,0,0,1.87,1.84,1.9
2024,JM ENTERPRISE,1.82,200,200,0,0,0,0,0,0,0,1.87,1.84,1.9
2024,LONG DANG,1.88,2500,300,2000,100,100,0,0,0,0,1.87,1.84,1.9
2024,NEW MATERIAL,1.86,830,420,160,0,0,250,0,0,0,1.87,1.84,1.9
2024,NGOC DAN,1.86,5820,3520,700,500,400,700,0,0,0,1.87,1.84,1.9
2024,PUS,1.93,3860,320,80,2300,660,500,0,0,0,1.87,1.84,1.9
2024,SANAKY,1.72,1600,500,0,900,200,0,0,0,0,1.87,1.84,1.9
2024,SHORT HILLS,1.97,300,300,0,0,0,0,0,0,0,1.87,1.84,1.9
2024,TONMAT,1.9,2340,100,1360,140,300,0,0,440,0,1.87,1.84,1.9
2024,WANEK,1.79,102,102,0,0,0,0,0,0,0,1.87,1.84,1.9
2025,AN THANH PHAT,1.667,3500,580,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,CHEMTROL,1.82,60,40,0,20,0,0,0,0,0,1.85,1.95,1.86
2025,DOAN MINH PRODUCTION,1.676,1160,279,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,GIA LONG,1.945,80,40,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,HMC TRADING,1.608,2111,1214,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,HOANG GIA ANH,1.66,420,120,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,KPX,1.823,560,320,140,0,0,100,0,0,0,1.85,1.95,1.86
2025,LONG DANG,1.76,2400,140,1800,140,0,320,0,0,0,1.85,1.95,1.86
2025,NEW MATERIAL,1.71,1100,800,200,0,0,100,0,0,0,1.85,1.95,1.86
2025,NGOC DAN,1.628,5640,3391,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,ORIKEN,1.995,200,40,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,PUS,1.7,1000,59,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SAMSUNG,1.985,2900,504,0,1200,0,0,0,0,1196,1.85,1.95,1.86
2025,SHORT HILLS,1.792,520,460,60,0,0,0,0,0,0,1.85,1.95,1.86
2025,TST,1.775,160,140,20,0,0,0,0,0,0,1.85,1.95,1.86
2025,APEX INTERNATIONAL,2.005,40,20,0,20,0,0,0,0,0,1.85,1.95,1.86
2025,ASIA POLYURETHANE,1.686,300,40,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,DOAN MINH IRON,1.557,17904,2033,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,JM ENTERPRISE,1.697,140,80,40,0,0,20,0,0,0,1.85,1.95,1.86
2025,KMO,1.681,80,40,20,20,0,0,0,0,0,1.85,1.95,1.86
2025,PEARL POLYURETHANE,1.991,100,100,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SIBARI,1.708,20,20,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,WANEK,1.837,74,74,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,GHW,1.626,200,120,80,0,0,0,0,0,0,1.85,1.95,1.86
2025,H.K. EAST SEA,1.719,40,40,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SAI GON POLYURETHANES,1.664,100,20,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SANAKY,1.68,1000,500,0,500,0,0,0,0,0,1.85,1.95,1.86
2025,TONMAT,1.639,600,40,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,NAM LEONG,1.557,40,20,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,T&T ,1.617,20,20,0,0,0,0,0,0,0,1.85,1.95,1.86
