year,customer, sow,ppd,volume, PP ,Quadrant,PPDValue
2025,AN THANH PHAT,17.0,-0.0330469,580,1.6666,c4,-19.1672
2025,CHEMTROL,67.0,0.0217327,40,1.8197,c1,0.8693
2025,DOAN MINH PRODUCTION,24.0,-0.0228765,279,1.6757,c4,-6.3825
2025,GIA LONG,50.0,-0.011203,40,1.9452,c2,-0.4481
2025,HMC TRADING,58.0,-0.0453858,1214,1.6078,c2,-55.0983
2025,HOANG GIA ANH,29.0,-0.03694,120,1.6601,c4,-4.4328
2025,KPX,57.0,0.0337593,320,1.8226,c1,10.803
2025,LONG DANG,41.0,0.0529215,140,1.7604,c3,7.409
2025,NEW MATERIAL,73.0,0.0291181,800,1.7099,c1,23.2945
2025,NGOC DAN,60.0,-0.0341938,3390.5,1.6278,c2,-115.9339
2025,ORIKEN,20.0,-0.0209488,40,1.9949,c4,-0.838
2025,PUS VIETNAM,6.0,-0.0593235,59,1.6999,c4,-3.5001
2025,SAMSUNG,17.0,0.1455298,504.3,1.9852,c3,73.3849
2025,SHORT HILLS,88.0,0.0169654,460,1.7918,c1,7.8041
2025,TST,88.0,0.0494699,140,1.7747,c1,6.9258
2025,APEX INTERNATIONAL,50.0,0.1365944,20,2.0055,c1,2.7319
2025,ASIA POLYURETHANE,13.0,-0.1645546,40,1.6855,c4,-6.5822
2025,DOAN MINH IRON,11.0,-0.0290459,2033,1.5568,c4,-59.0503
2025,JM ENTERPRISE,57.0,-0.0138932,80,1.6974,c2,-1.1115
2025,KMO,50.0,-0.0041543,40,1.681,c2,-0.1662
2025,PEARL POLYURETHANE,100.0,0.1491345,100,1.9906,c1,14.9135
2025,SIBARI CORPORATION,100.0,-0.02255,20,1.7083,c2,-0.451
2025,WANEK,100.0,0.2501771,74,1.8373,c1,18.5131
2025,GHW,60.0,0.0511911,120,1.6263,c1,6.1429
2025,H.K. EAST SEA ,100.0,0.0273384,40,1.7192,c1,1.0935
2025,SAI GON POLYURETHANES,20.0,-0.0273384,20,1.6645,c4,-0.5468
2025,SANAKY,50.0,0.0463187,500,1.6796,c1,23.1593
2025,TONMAT GROUP,7.0,-0.0007864,40,1.6387,c4,-0.0315
2025,NAM LEONG,50.0,0.0126274,20,1.5566,c1,0.2525
2025,T&T INTERNATIONAL,100.0,0.1334544,20,1.6172,c1,2.6691
