year,customer, sow,ppd,volume, PP ,Quadrant,PPDValue
2025,AN THANH PHAT,0.17,-0.0330469,580.0,1.6666,c4,-19.1672
2025,CHEMTROL,0.67,0.0217327,40.0,1.8197,c1,0.8693
2025,DOAN MINH PRODUCTION,0.24,-0.0228765,279.0,1.6757,c4,-6.3825
2025,GIA LONG,0.50,-0.0112030,40.0,1.9452,c2,-0.4481
2025,HMC TRADING,0.58,-0.0453858,1214.0,1.6078,c2,-55.0983
2025,HOANG GIA ANH,0.29,-0.0369400,120.0,1.6601,c4,-4.4328
2025,KPX,0.57,0.0337593,320.0,1.8226,c1,10.8030
2025,LONG DANG,0.41,0.0529215,140.0,1.7604,c3,7.4090
2025,NEW MATERIAL,0.73,0.0291181,800.0,1.7099,c1,23.2945
2025,NGOC DAN,0.60,-0.0341938,3390.5,1.6278,c2,-115.9339
2025,ORIKEN,0.20,-0.0209488,40.0,1.9949,c4,-0.8380
2025,PUS VIETNAM,0.06,-0.0593235,59.0,1.6999,c4,-3.5001
2025,SAMSUNG,0.17,0.1455298,504.3,1.9852,c3,73.3849
2025,SHORT HILLS,0.88,0.0169654,460.0,1.7918,c1,7.8041
2025,TST,0.88,0.0494699,140.0,1.7747,c1,6.9258
2025,APEX INTERNATIONAL,0.50,0.1365944,20.0,2.0055,c1,2.7319
2025,ASIA POLYURETHANE,0.13,-0.1645546,40.0,1.6855,c4,-6.5822
2025,DOAN MINH IRON,0.11,-0.0290459,2033.0,1.5568,c4,-59.0503
2025,JM ENTERPRISE,0.57,-0.0138932,80.0,1.6974,c2,-1.1115
2025,KMO,0.50,-0.0041543,40.0,1.6810,c2,-0.1662
2025,PEARL POLYURETHANE,1.00,0.1491345,100.0,1.9906,c1,14.9135
2025,SIBARI CORPORATION,1.00,-0.0225500,20.0,1.7083,c2,-0.4510
2025,WANEK,1.00,0.2501771,74.0,1.8373,c1,18.5131
2025,GHW,0.60,0.0511911,120.0,1.6263,c1,6.1429
2025,H.K. EAST SEA ,1.00,0.0273384,40.0,1.7192,c1,1.0935
2025,SAI GON POLYURETHANES,0.20,-0.0273384,20.0,1.6645,c4,-0.5468
2025,SANAKY,0.50,0.0463187,500.0,1.6796,c1,23.1593
2025,TONMAT GROUP,0.07,-0.0007864,40.0,1.6387,c4,-0.0315
2025,NAM LEONG,0.50,0.0126274,20.0,1.5566,c1,0.2525
2025,T&T INTERNATIONAL,1.00,0.1334544,20.0,1.6172,c1,2.6691
