year,customer, pocket price , demand ,covestro,wanhua,basf,mcns,hanwha,sabic,other,vn_pp,apac_pp
2022,CASAREDO,2.52,40,40,0,0,0,0,0,0,2.36,2.15
2022,CHIYA,2.35,1100,460,300,200,100,40,0,0,2.36,2.15
2022,ELAN,2.4,740,360,0,0,180,200,0,0,2.36,2.15
2022,FAR EAST FOAM,2.23,2999,1999.45,1000,0,0,0,0,0,2.36,2.15
2022,HANG TAI,2.3,760,760,0,0,0,0,0,0,2.36,2.15
2022,HEADWAY,2.28,900,900,0,0,0,0,0,0,2.36,2.15
2022,INOAC,2.23,1240,540,40,600,0,60,0,0,2.36,2.15
2022,JIAYANG,2.69,140,40,0,0,0,0,0,100,2.36,2.15
2022,KHOI MINH,2.39,1580,780,0,300,500,0,0,0,2.36,2.15
2022,NITORI,2.42,1120,1120,0,0,0,0,0,0,2.36,2.15
2022,TAI SHENG,2.19,200,120,80,0,0,0,0,0,2.36,2.15
2022,XIN HUI,2.35,1360,580,400,300,0,0,0,80,2.36,2.15
2022,XINRUI,2.39,140,140,0,0,0,0,0,0,2.36,2.15
2022,HA THANH,2.35,160,160,0,0,0,0,0,0,2.36,2.15
2023,CASAREDO,2.11,60,60,0,0,0,0,0,0,1.98,2.03
2023,CHIYA,2.02,1520,760,340,240,140,40,0,0,1.98,2.03
2023,ELAN,2,980,600,60,0,40,280,0,0,1.98,2.03
2023,EVERGREEN,1.83,1320,40,700,420,0,160,0,0,1.98,2.03
2023,FAR EAST FOAM,1.98,6113,2600,2500,0,0,0,0,1013,1.98,2.03
2023,HANG TAI,1.96,1900,600,700,260,0,0,0,340,1.98,2.03
2023,HEADWAY,2,800,520,0,280,0,0,0,0,1.98,2.03
2023,INOAC,1.94,1400,660,0,740,0,0,0,0,1.98,2.03
2023,JIAYANG,1.92,190,140,0,0,0,0,0,50,1.98,2.03
2023,KHOI MINH,1.66,1680,780,0,200,700,0,0,0,1.98,2.03
2023,NITORI,2.06,1380,920,20,200,0,0,0,240,1.98,2.03
2023,TAI SHENG,2.08,250,80,70,80,0,20,0,0,1.98,2.03
2023,XIN HUI,2.13,1320,620,400,200,0,0,0,100,1.98,2.03
2023,XINRUI,2.08,280,180,60,40,0,0,0,0,1.98,2.03
2023,HA THANH,2.03,560,200,0,0,180,180,0,0,1.98,2.03
2024,CASAREDO,1.67,140,100,0,20,0,0,20,0,1.69,1.64
2024,CEN VIET NAM,1.61,20,20,0,0,0,0,0,0,1.69,1.64
2024,CHEMWEST,1.98,40,20,0,20,0,0,0,0,1.69,1.64
2024,CHIYA,1.66,2038,1018,580,0,300,140,0,0,1.69,1.64
2024,DAI THANH,1.65,40,20,20,0,0,0,0,0,1.69,1.64
2024,DAOHEUANG,1.77,30,20,0,0,0,0,0,10,1.69,1.64
2024,DINH VU,1.6,80,40,0,0,0,0,0,40,1.69,1.64
2024,ELAN,1.6,1120,700,60,0,200,160,0,0,1.69,1.64
2024,EVERGREEN,1.64,1580,120,140,800,0,120,0,400,1.69,1.64
