year,customer, sow,ppd,volume, PP ,Quadrant,PPDValue
2024,Neak Poan,54.35,-0.05048,500,1.669281,c2,-25.2402
2024,TECH FINE,60,0.022616,240,1.680495,c1,5.4279
2024,XIN HUI,25.86,-0.005784,300,1.69245,c4,-1.7352
2024,VN TAI SHENG,41.67,0.008155,100,1.639798,c3,0.8155
2024,DAI THANH,50,-0.002391,20,1.652939,c4,-0.0478
2024,CASARREDO,71.43,0.003321,100,1.667938,c1,0.3321
2024,CEN VIET NAM,100,0.015825,20,1.60644,c1,0.3165
2024,CHEMWEST,50,0.08014,20,1.977154,c3,1.6028
2024,CHIYA,50.4,-0.00157,1018,1.656894,c2,-1.5987
2024,DAOHEUANG,66.67,0.037316,20,1.767719,c1,0.7463
2024,Dinh Vu,50,-0.002162,40,1.598885,c4,-0.0865
2024,ELAN,62.61,-0.026244,700,1.600654,c2,-18.3706
2024,EVERGREEN,8,-0.006968,120,1.636878,c4,-0.8362
2024,FAR EAST FOAM,70.71,0.007972,5400,1.705959,c1,43.0485
2024,HA THANH,80.95,0.025272,340,1.704724,c1,8.5925
2024,HANG TAI,51.78,0.014472,1380,1.710721,c1,19.972
2024,HAPPY VIEW,100,0.099848,60,1.743184,c1,5.9909
2024,Han Li Gu,50,0.020676,40,1.611291,c3,0.827
2024,Headway,61.36,-0.026454,540,1.628361,c2,-14.2854
2024,Hengtong,24,0.129567,120,1.555438,c3,15.548
2024,I.H.K,100,0.009899,140,1.736318,c1,1.3858
2024,JIAYANG,68.38,0.002506,320,1.672931,c1,0.8019
2024,JING THAI,18.18,0.067223,40,1.75676,c3,2.6889
2024,JM,60,-0.01999,60,1.592121,c2,-1.1994
2024,KHOI MINH,56.94,0.003853,820,1.685436,c1,3.1598
2024,KPX,100,-0.021598,20,1.569017,c2,-0.432
2024,Mousse Ngoc,8.33,0.003801,20,1.727547,c3,0.076
2024,Nitori,49.31,0.011998,680,1.652149,c3,8.1584
2024,PATEL,25,0.099469,20,1.87683,c3,1.9894
2024,SAN XUAT VA,50,0.04353,60,1.767275,c3,2.6118
2024,TAN THANH,57.14,-0.003197,160,1.689029,c2,-0.5116
2024,TM Grow,60,0.030882,60,1.622732,c1,1.8529
2024,Tekchem,50,0.01207,40,1.588217,c3,0.4828
2024,XINRUI,40.61,-0.009283,120,1.7632,c4,-1.114
2024,Inoac,48.75,-0.045321,700,1.657177,c4,-31.7248
2024,KIM VINH,100,0.028777,80,1.667501,c2,2.3022
2025,Neak Poan,60.61,0.006083,600,1.566565,c1,3.649802816
2025,ANDAMAN,77.42,0.056512,480,1.598644,c1,27.12573875
2025,CASARREDO,57.14,-0.051985,80,1.461482,c2,-4.158832981
2025,CEN VIET NAM,50,-0.045699,20,1.495985,c4,-0.9139725
2025,CHIYA,49.07,0.060062,1060,1.568663,c3,63.6659483
2025,ELAN,66.21,-0.034822,960,1.439854,c2,-33.42953363
2025,EVERGREEN,22.45,0.007311,660,1.507416,c3,4.825109782
2025,FAR EAST FOAM,38.18,-0.047879,3520,1.468322,c4,-168.5336512
2025,HA THANH,60.87,-0.041558,280,1.435769,c2,-11.63612525
2025,HANG TAI,34.91,-0.007002,740,1.449104,c4,-5.181759667
2025,HAPPY VIEW,60,0.02069,120,1.525639,c1,2.482792409
2025,Han Li Gu,100,0.131295,20,1.687034,c1,2.625905
2025,Headway,47.62,-0.007401,200,1.550693,c4,-1.480247804
2025,I.H.K,60,0.080197,60,1.699733,c1,4.81182
2025,Inoac,27.42,-0.019777,340,1.493894,c4,-6.724334668
2025,JIAYANG,25,-0.000419,40,1.542323,c4,-0.0167756
2025,JM,61.54,-0.068687,160,1.446701,c2,-10.9898425
2025,KHOI MINH,60,0.005812,780,1.518932,c1,4.53346569
2025,KIM VINH,90.91,0.024313,200,1.547468,c1,4.862583441
2025,KMO,66.67,-0.152412,40,1.305836,c2,-6.09646
2025,LUCKY SNOW,100,-0.002383,180,1.615366,c2,-0.428985
2025,Mousse Ngoc,30,-0.019462,60,1.536711,c4,-1.16774
2025,Nitori,64.52,0.028435,800,1.502869,c1,22.7482561
2025,PATEL,50,-0.083992,20,1.374255,c4,-1.67985
2025,SAM CHEM ,53.33,0.065506,320,1.585581,c1,20.96206279
2025,SAMSUNG POLYMER,100,-0.05996,20,1.469786,c2,-1.199198767
2025,TAN THANH,50,-0.061903,20,1.448537,c4,-1.238057581
2025,TECH FINE,55,0.040299,220,1.567544,c1,8.865672371
2025,TM Grow,21.82,0.027454,120,1.569556,c3,3.294495866
2025,VN TAI SHENG,33.33,0.012844,40,1.401076,c3,0.513754667
2025,XIN HUI,65.83,0.018777,980,1.508663,c1,18.40100632
2025,Tekchem,66.67,-0.018686,40,1.439561,c2,-0.74743
2025,ASIA POLY,100,-0.009665,20,1.609871,0,-0.1933
