year,customer,min,base,max
2023,NITORI,828,920,1012
2023,FAR EAST FOAM,2307,2564,2820
2023,HANG TAI,540,600,660
2023,XINRUI,162,180,198
2023,TAI SHENG,72,80,88
2023,EVERGREEN,36,40,44
2023,TAN THANH,0,0,0
2023,TECH FINE,0,0,0
2023,HA THANH,180,200,220
2023,KIM VINH PHAT,54,60,66
2023,JIAYANG,126,140,154
2023,ELAN,540,600,660
2023,XIN HUI,540,600,660
2023,INOAC,594,660,726
2023,CASAREDO,54,60,66
2023,HEADWAY,468,520,572
2023,CHIYA,684,760,836
2023,NGOC CUONG,234,260,286
2023,KHOI MINH,630,700,770
2023,DINH VU,0,0,0
2024,NITORI,432,480,528
2024,FAR EAST FOAM,3780,4200,4620
2024,HANG TAI,1170,1300,1430
2024,XINRUI,108,120,132
2024,TAI SHENG,18,20,22
2024,EVERGREEN,72,80,88
2024,TAN THANH,90,100,110
2024,TECH FINE,108,120,132
2024,HA THANH,216,240,264
2024,KIM VINH PHAT,72,80,88
2024,JIAYANG,180,200,220
2024,ELAN,414,460,506
2024,XIN HUI,162,180,198
2024,INOAC,540,600,660
2024,CASAREDO,72,80,88
2024,HEADWAY,378,420,462
2024,CHIYA,810,900,990
2024,NGOC CUONG,36,40,44
2024,KHOI MINH,666,740,814
2024,DINH VU,36,40,44
2025,NITORI,540,600,660
2025,FAR EAST FOAM,3308,4410,4983
2025,HANG TAI,1206,1340,1407
2025,XINRUI,0,0,0
2025,TAI SHENG,36,40,60
2025,EVERGREEN,100,160,180
2025,TAN THANH,108,120,132
2025,TECH FINE,100,160,200
2025,HA THANH,260,320,352
2025,KIM VINH PHAT,100,120,126
2025,JIAYANG,160,220,231
2025,ELAN,504,560,616
2025,XIN HUI,180,240,252
2025,INOAC,630,700,770
2025,CASAREDO,60,86,91
2025,HEADWAY,408,454,476
2025,CHIYA,828,920,966
2025,NGOC CUONG,20,43,45
2025,KHOI MINH,680,799,839
2025,DINH VU,20,50,55
2026,NITORI,0,636,0
2026,FAR EAST FOAM,0,4675,0
2026,HANG TAI,0,1420,0
2026,XINRUI,0,0,0
2026,TAI SHENG,0,42,0
2026,EVERGREEN,0,170,0
2026,TAN THANH,0,127,0
2026,TECH FINE,0,170,0
2026,HA THANH,0,339,0
2026,KIM VINH PHAT,0,127,0
2026,JIAYANG,0,233,0
2026,ELAN,0,594,0
2026,XIN HUI,0,254,0
2026,INOAC,0,742,0
2026,CASAREDO,0,92,0
2026,HEADWAY,0,481,0
2026,CHIYA,0,975,0
2026,NGOC CUONG,0,46,0
2026,KHOI MINH,0,847,0
2026,DINH VU,0,53,0
2027,NITORI,0,674,0
2027,FAR EAST FOAM,0,4955,0
2027,HANG TAI,0,1506,0
2027,XINRUI,0,0,0
2027,TAI SHENG,0,45,0
2027,EVERGREEN,0,180,0
2027,TAN THANH,0,135,0
2027,TECH FINE,0,180,0
2027,HA THANH,0,360,0
2027,KIM VINH PHAT,0,135,0
2027,JIAYANG,0,247,0
2027,ELAN,0,629,0
2027,XIN HUI,0,270,0
2027,INOAC,0,787,0
2027,CASAREDO,0,97,0
2027,HEADWAY,0,510,0
2027,CHIYA,0,1034,0
2027,NGOC CUONG,0,49,0
2027,KHOI MINH,0,898,0
2027,DINH VU,0,56,0
